Algorithm,Cost,Time
Knapsack,5346.0,0.0010015964508056
Recursive Knapsack,5346.0,0.1829950809478759
Dynamic,4473.0,0.0010082721710205
Static,6388.0,0.0009999275207519
Algorithm,1602.0,0.0010080337524414
Knapsack,5346.0,0.0
Recursive Knapsack,5346.0,0.1798233985900879
Dynamic,4473.0,0.0009996891021728
Static,6388.0,0.0009999275207519
Algorithm,1602.0,0.0011429786682128
Knapsack,5346.0,0.0010473728179931
Recursive Knapsack,5346.0,0.1890552043914795
Dynamic,4473.0,0.0021183490753173
Static,6388.0,0.0010066032409667
Algorithm,1602.0,0.0009980201721191
Knapsack,5346.0,0.0009996891021728
Recursive Knapsack,5346.0,0.1965188980102539
Dynamic,4473.0,0.0010044574737548
Static,6388.0,0.001000165939331
Algorithm,1602.0,0.0012087821960449
Knapsack,5346.0,0.0013778209686279
Recursive Knapsack,5346.0,0.1804370880126953
Dynamic,4473.0,0.0012629032135009
Static,6388.0,0.0
Algorithm,1602.0,0.0009980201721191
Knapsack,5346.0,0.0010008811950683
Recursive Knapsack,5346.0,0.1803352832794189
Dynamic,4473.0,0.0010225772857666
Static,6388.0,0.0010068416595458
Algorithm,1602.0,0.001007080078125
Knapsack,5346.0,0.0
Recursive Knapsack,5346.0,0.2416400909423828
Dynamic,4473.0,0.0011696815490722
Static,6388.0,0.0010054111480712
Algorithm,1602.0,0.0009996891021728
Knapsack,5346.0,0.001000165939331
Recursive Knapsack,5346.0,0.1881287097930908
Dynamic,4473.0,0.0010020732879638
Static,6388.0,0.0
Algorithm,1602.0,0.0010218620300292
Knapsack,5346.0,0.0010061264038085
Recursive Knapsack,5346.0,0.1814701557159423
Dynamic,4473.0,0.0010006427764892
Static,6388.0,0.00099778175354
Algorithm,1602.0,0.0
Knapsack,5346.0,0.0011448860168457
Recursive Knapsack,5346.0,0.1781554222106933
Dynamic,4473.0,0.001004934310913
Static,6388.0,0.0012617111206054
Algorithm,1602.0,0.0010786056518554
Knapsack,5346.0,0.0
Recursive Knapsack,5346.0,0.186387300491333
Dynamic,4473.0,0.0015435218811035
Static,6388.0,0.0010042190551757
Algorithm,1602.0,0.0015270709991455
Knapsack,5346.0,0.0
Recursive Knapsack,5346.0,0.1882193088531494
Dynamic,4473.0,0.0005030632019042
Static,6388.0,0.0010042190551757
Algorithm,1602.0,0.0010006427764892
Knapsack,5346.0,0.0
Recursive Knapsack,5346.0,0.1817200183868408
Dynamic,4473.0,0.0009999275207519
Static,6388.0,0.0010979175567626
Algorithm,1602.0,0.0010004043579101
Knapsack,5346.0,0.0010132789611816
Recursive Knapsack,5346.0,0.2440011501312255
Dynamic,4473.0,0.0009851455688476
Static,6388.0,0.0010015964508056
Algorithm,1602.0,0.002026081085205
Knapsack,5346.0,0.0
Recursive Knapsack,5346.0,0.3011887073516845
Dynamic,4473.0,0.0015676021575927
Static,6388.0,0.0020301342010498
Algorithm,1602.0,0.0020012855529785
Knapsack,5346.0,0.0010147094726562
Recursive Knapsack,5346.0,0.317899227142334
Dynamic,4473.0,0.001605749130249
Static,6388.0,0.0020298957824707
Algorithm,1602.0,0.002997875213623
Knapsack,5346.0,0.0009987354278564
Recursive Knapsack,5346.0,0.3368873596191406
Dynamic,4473.0,0.0009822845458984
Static,6388.0,0.0024962425231933
Algorithm,1602.0,0.003042459487915
Knapsack,5346.0,0.0
Recursive Knapsack,5346.0,0.3208637237548828
Dynamic,4473.0,0.0018846988677978
Static,6388.0,0.0010499954223632
Algorithm,1602.0,0.0020020008087158
Knapsack,5346.0,0.0009963512420654
Recursive Knapsack,5346.0,0.3233873844146728
Dynamic,4473.0,0.0019524097442626
Static,6388.0,0.0020310878753662
Algorithm,1602.0,0.0021305084228515
Knapsack,5346.0,0.0010135173797607
Recursive Knapsack,5346.0,0.3611257076263428
Dynamic,4473.0,0.0030403137207031
Static,6388.0,0.0030312538146972
Algorithm,1602.0,0.0011625289916992
Knapsack,5346.0,0.0012049674987792
Recursive Knapsack,5346.0,0.3202166557312011
Dynamic,4473.0,0.000983715057373
Static,6388.0,0.0019972324371337
Algorithm,1602.0,0.002004861831665
Knapsack,5346.0,0.0
Recursive Knapsack,5346.0,0.2944395542144775
Dynamic,4473.0,0.0019876956939697
Static,6388.0,0.00199556350708
Algorithm,1602.0,0.001260757446289
Knapsack,5346.0,0.0013258457183837
Recursive Knapsack,5346.0,0.3032877445220947
Dynamic,4473.0,0.0011835098266601
Static,6388.0,0.0022289752960205
Algorithm,1602.0,0.0024220943450927
Knapsack,5346.0,0.0
Recursive Knapsack,5346.0,0.3454768657684326
Dynamic,4473.0,0.0020332336425781
Static,6388.0,0.001509666442871
Algorithm,1602.0,0.001863956451416
Knapsack,5346.0,0.0015103816986083
Recursive Knapsack,5346.0,0.366741418838501
Dynamic,4473.0,0.0020201206207275
Static,6388.0,0.0024948120117187
Algorithm,1602.0,0.0023379325866699
Knapsack,5346.0,0.0
Recursive Knapsack,5346.0,0.3108158111572265
Dynamic,4473.0,0.0030858516693115
Static,6388.0,0.0010082721710205
Algorithm,1602.0,0.0019152164459228
Knapsack,5346.0,0.0
Recursive Knapsack,5346.0,0.3137509822845459
Dynamic,4473.0,0.0020601749420166
Static,6388.0,0.0010561943054199
